Period,Rate,Rate_case,SPX_case,N,Success,Prior_alpha,Prior_beta,Posterior_mean,CI_low,CI_high
2005–2009,2Y,up,up,580,380,379.34482758620686,199.6551724137931,0.6551344960330271,0.6275187488709704,0.6821682679861906
2005–2009,2Y,up,down,580,200,199.6551724137931,379.34482758620686,0.3448538600227804,0.31785268897055285,0.3724631851357744
2005–2009,2Y,down,up,536,232,231.56716417910445,303.43283582089555,0.4328474240390067,0.4033326919450674,0.4626628312423427
2005–2009,2Y,down,down,536,303,302.43470149253733,232.56529850746267,0.5652998898566516,0.5354848231267614,0.5948806268751123
2005–2009,10Y,up,up,578,361,360.37543252595157,216.62456747404843,0.6245459374163587,0.5964195239140474,0.6522541809774908
2005–2009,10Y,up,down,578,217,216.62456747404843,360.37543252595157,0.37543878149206494,0.3476684137314457,0.4034854326607245
2005–2009,10Y,down,up,578,268,267.5363321799308,309.4636678200692,0.4636665892502373,0.4349556440814193,0.4924066085095249
2005–2009,10Y,down,down,578,310,309.4636678200692,267.5363321799308,0.5363562507719383,0.5075696988053181,0.5650578659228123
2005–2009,30Y,up,up,567,332,331.4144620811287,234.58553791887127,0.5855675550446003,0.5567194640002687,0.614056919399783
2005–2009,30Y,up,down,567,234,233.58730158730157,332.41269841269843,0.41271785080767076,0.3842235936487164,0.4415197156031358
2005–2009,30Y,down,up,577,282,281.5112651646447,294.4887348353553,0.4887441602840071,0.4599534176483424,0.5175317962130839
2005–2009,30Y,down,down,577,295,294.4887348353553,281.5112651646447,0.5113292072452287,0.4824780416060297,0.5402109637621778
2010–2014,2Y,up,up,436,287,286.341743119266,148.65825688073394,0.6582402262253574,0.6263504319983477,0.6893750724993387
2010–2014,2Y,up,down,436,149,148.65825688073394,286.341743119266,0.3417202511701463,0.3104975842559092,0.37353075491933485
2010–2014,2Y,down,up,441,192,191.56462585034015,248.43537414965988,0.43533547056339383,0.40271559606374524,0.4681741242824559
2010–2014,2Y,down,down,441,249,248.43537414965985,191.56462585034015,0.5646463956827626,0.531939617334627,0.5972192287958644
2010–2014,10Y,up,up,554,412,411.2563176895307,141.7436823104693,0.7437094199862213,0.7175405099071575,0.7689355446837949
2010–2014,10Y,up,down,554,142,141.7436823104693,411.2563176895307,0.25630799199102716,0.23101784124107275,0.2824045076982288
2010–2014,10Y,down,up,613,233,232.6199021207178,379.38009787928223,0.38009752255971063,0.3530823347501563,0.4074375252734551
2010–2014,10Y,down,down,613,380,379.38009787928223,232.6199021207178,0.6199382331902893,0.5925948178880969,0.6468910184333073
2010–2014,30Y,up,up,552,414,413.25,137.75,0.7500187416555043,0.7241042076174805,0.7750274975016834
2010–2014,30Y,up,down,552,138,137.75,413.25,0.2500021975952511,0.22480534353332005,0.2760065165386272
2010–2014,30Y,down,up,613,238,237.61174551386623,374.3882544861338,0.3882702965407696,0.36122662664909505,0.41573853872759153
2010–2014,30Y,down,down,613,375,374.3882544861338,237.61174551386623,0.6117702305370465,0.5845087204737702,0.6387434567697859
2015–2019,2Y,up,up,542,356,355.34317343173433,185.6568265682657,0.6567942915341921,0.6282553561726768,0.6846639824144337
2015–2019,2Y,up,down,542,186,185.6568265682657,355.34317343173433,0.34318309128699775,0.31522723126830027,0.37176445170972666
2015–2019,2Y,down,up,479,188,187.60751565762004,290.39248434238,0.3924629073432304,0.36162275988868414,0.42361217031459514
2015–2019,2Y,down,down,479,290,289.39457202505224,188.6054279749478,0.6054022711921365,0.5741597489944255,0.636193878323137
2015–2019,10Y,up,up,539,362,361.3283858998145,176.6716141001855,0.671642827641895,0.6433003452117233,0.699390199252397
2015–2019,10Y,up,down,539,177,176.67161410018554,361.32838589981446,0.32837321047801576,0.30077178007822175,0.35673409457584415
2015–2019,10Y,down,up,580,228,227.60689655172413,351.39310344827584,0.3931229900733441,0.36513047039748614,0.4215404115162464
2015–2019,10Y,down,down,580,352,351.39310344827584,227.60689655172413,0.6068441324998783,0.5784961948403959,0.6348370430663721
2015–2019,30Y,up,up,529,354,353.33081285444234,174.6691871455577,0.6691895643156021,0.6403260504131059,0.6972218704258089
2015–2019,30Y,up,down,529,175,174.66918714555766,353.33081285444234,0.33075482229131087,0.30270696931378666,0.3594908511285051
2015–2019,30Y,down,up,585,247,246.57777777777778,337.4222222222222,0.4221655750873583,0.3940801178477419,0.4506374153360864
2015–2019,30Y,down,down,585,338,337.4222222222222,246.5777777777778,0.5778413094486538,0.5494002954027682,0.6060580249088796
2020–2024,2Y,up,up,541,284,283.4750462107209,256.5249537892791,0.5248964230527869,0.4951485032812119,0.5546170405271884
2020–2024,2Y,up,down,541,257,256.5249537892791,283.4750462107209,0.47503809091942567,0.4453582954995912,0.5048206858324008
2020–2024,2Y,down,up,480,252,251.47500000000005,227.525,0.5250059181483644,0.4933498043080198,0.5567088109545811
2020–2024,2Y,down,down,480,228,227.525,251.47500000000005,0.47497846228539115,0.44359087442682493,0.5065532376333981
2020–2024,10Y,up,up,595,323,322.45714285714286,271.54285714285714,0.5428436216684935,0.5144896365417219,0.5711457507820963
2020–2024,10Y,up,down,595,272,271.54285714285714,322.4571428571429,0.4571430049491107,0.4288279132695282,0.4855598523080329
2020–2024,10Y,down,up,565,308,307.4548672566372,256.5451327433628,0.5451612355211752,0.5161426592754715,0.5741199413553852
2020–2024,10Y,down,down,565,257,256.54513274336284,307.4548672566372,0.454911419289915,0.42577967929995825,0.4841084302411432
2020–2024,30Y,up,up,602,332,331.44850498338866,269.55149501661134,0.5515375844964024,0.5234274063911674,0.5794709672653644
2020–2024,30Y,up,down,602,270,269.5514950166113,331.4485049833887,0.44849935518102385,0.4204126588686395,0.47656094830083645
2020–2024,30Y,down,up,567,302,301.4673721340388,264.5326278659612,0.5326446235654642,0.5035261982094049,0.5617149007534078
2020–2024,30Y,down,down,567,265,264.53262786596116,301.46737213403884,0.46737162381644215,0.43837765299377196,0.4964479576024919
